"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
235060799,"2016-02-29 15:52:32 GMT",53.89238,-3.67433,211,2.5,192,0,9366079,"VOS PATHFINDER","2ALO7",99,18,37,4,8,4.6,"MORECAMBE GAS FIELD","02-25 00:15"
265547250,"2016-02-29 15:52:49 GMT",57.69689,11.91187,26.4,9.9,27,0,7947192,"SKARVEN","SJOL",60,9,20,4,4,2.5,"GOTEBORG S SKARGARD","00-00 24:60"
477177400,"2016-02-29 15:51:49 GMT",47.55391,-122.34305,255.5,0,159,5,9378008,"DARLING RIVER","VRET8",70,155,25,20,8,8.4,"US SEA","02-27 19:00"
413906648,"2016-02-29 15:52:39 GMT",23.09068,113.44024,360,0,511,0,0,"YAE AH YUN 12","",70,3,57,9,9,4.5,"","07-18 17:00"
319022200,"2016-02-29 15:52:38 GMT",18.32451,-64.85171,329.8,0,231,5,0,"LA DOLCE VITA","ZGCW6",37,18,12,3,3,2,"REDHOOK","02-15 14:30"
367152910,"2016-02-29 15:53:05 GMT",26.11487,-80.10835,29,0.2,189,0,9415284,"GALLANT LADY","WDD5044",37,29,23,5,5,2.3,"FT LAUDERDALE","07-04 14:00"
312468000,"2016-02-29 15:50:37 GMT",45.20907,12.26147,171,0,511,5,8403894,"MERCERY M","V3PH5",70,85,20,5,12,4.4,"CHIOGGIA","02-25 03:30"
412047720,"2016-02-29 15:47:00 GMT",31.342,121.64355,117.7,0,304,0,0,"HAIGANG 51","BTKQ",52,17,20,5,5,0,"","00-00 00:00"
244090147,"2016-02-29 15:50:52 GMT",52.7695,5.10739,0,0,511,0,0,"WESTFLINGHE","PG3655",37,26,0,3,2,0,"","00-00 00:00"
246151000,"2016-02-29 15:53:10 GMT",53.31547,5.11802,237,27.8,236,0,0,"EXPLORER (PILOTS)","PDBK",50,19,4,3,3,1,"PILOT BOARDING AREA","04-24 16:30"
305082000,"2016-02-29 15:53:15 GMT",63.6657,9.478,18.8,16.1,21,0,9359662,"HOLMFOSS","V2PN9",70,20,62,3,13,6,"AALESUND","02-28 14:00"
413302810,"2016-02-29 15:52:57 GMT",38.98191,117.72837,328,0,511,8,0,"HUI FENG YOU 10","",80,43,16,5,5,3.4,"TIAN JIN","02-21 10:00"
319506000,"2016-02-29 15:51:04 GMT",26.11353,-80.10859,289,0.1,188,5,1010179,"ELANDESS","ZCYO2",37,20,40,6,5,3.5,"FORT LAUDERDALE","02-21 08:00"
250002464,"2016-02-29 15:53:12 GMT",54.63074,-8.43922,221,0,45,7,9605516,"PAULA","EILQ9",30,36,25,0,12,7,"KILLYBEGS","02-23 02:00"
636015112,"2016-02-29 15:52:39 GMT",-5.28569,11.15068,258,0,234,3,9600786,"GLOBETROTTER II","A8YR2",90,37,152,17,15,12,"DRILLING CPA 2 NM","00-00 00:00"
311000418,"2016-02-29 15:40:02 GMT",57.14044,-2.08217,332.2,0,90,5,9611840,"VIKING PRINCESS","C6CA5",70,23,70,11,10,5.6,"ABERDEEN","02-29 08:00"
316003982,"2016-02-29 15:53:11 GMT",49.29808,-123.02922,344.2,0,511,0,0,"KAYMAR","CZ 3627",52,7,14,3,3,4,"PORT ALBERNI","07-23 02:00"
477334200,"2016-02-29 15:53:11 GMT",43.17673,10.2438,304,1.2,205,0,9311311,"ANACAPA LIGHT","VRLE5",70,145,27,14,13,9.8,"PIOMBINO","02-28 19:00"
503018530,"2016-02-29 15:49:29 GMT",-37.88258,147.98154,360,0.1,511,0,0,"PSYCHIQUE","",0,0,0,0,0,0,"","00-00 00:00"
565536000,"2016-02-29 15:47:58 GMT",31.33755,121.65507,115,0.1,119,5,9326407,"WAN HAI 507","9VJJ5",71,209,60,15,17,9,"CNSHA","02-29 09:30"
564787000,"2016-02-29 15:51:09 GMT",1.26494,103.9058,343.5,0.2,511,0,9055565,"OCEAN PRIDE","9VMI",80,60,19,7,8,5,"AEPB","02-27 22:00"
249170000,"2016-02-29 15:47:45 GMT",43.58434,7.12623,165.4,0,511,0,0,"CHEEKY TIGER","",0,0,0,0,0,0,"","00-00 00:00"
244010724,"2016-02-29 15:35:25 GMT",51.889,4.41822,332.2,0,511,5,0,"SURVEYOR 2","PD4713",33,10,9,3,3,1.8,"ROTTERDAM","11-05 15:00"
372913000,"2016-02-29 15:49:48 GMT",-24.21485,-46.30526,232.2,0,219,1,9222340,"ATLAS","3EVP4",70,0,0,0,0,6.4,"SANTOS","02-25 19:30"
257042700,"2016-02-29 15:53:17 GMT",59.73323,5.70115,48,10.9,511,0,7321922,"FITJAR","LLIX",6,0,0,0,0,0,"SUNDE","00-00 00:00"
431000451,"2016-02-29 15:40:33 GMT",35.63036,139.80075,259.8,0.1,342,5,8738055,"MANYOSHI MARU","JD2574",70,55,19,9,3,4.5,"JP TYO M","02-28 08:30"
263944980,"2016-02-29 15:47:35 GMT",38.70095,-9.17096,11.1,0,511,0,0,"ZACATRAZ","CRA6169",36,9,6,1,4,0,"","00-00 00:00"
441174000,"2016-02-29 15:40:21 GMT",22.18363,114.20208,299,8.3,300,0,9131852,"KMTC PUSAN","DSFT8",70,133,35,10,17,8.6,"HONGKONG","03-01 00:01"
244630637,"2016-02-29 15:52:54 GMT",51.82065,4.03988,0,0,511,15,0,"F/V GALIBIER","PBIB",30,20,15,6,2,4.2,"STELLENDAM","01-25 20:00"
259562000,"2016-02-29 15:53:17 GMT",66.5384,11.75664,211.7,9.4,210,7,30,"O.HUSBY","LJQG",30,25,25,4,5,3.7,"FISKELTA","00-00 00:00"
563336000,"2016-02-29 15:52:59 GMT",1.25276,103.80399,124.2,0,15,1,9678654,"MARINE JADE","9V9644",80,30,13,7,5,3,"SINGAPORE","08-24 23:00"
235307000,"2016-02-29 15:52:40 GMT",53.19116,1.33636,148.8,13,146,0,9220794,"MORITZ SCHULTE","ZNVF8",84,100,28,6,12,7.8,"ANTWERP","03-01 03:00"
211283160,"2016-02-29 15:52:48 GMT",53.86851,8.70649,126,0,293,5,0,"NARWAL","DBIU",55,10,13,2,4,1.6,"CUXHAVEN","12-08 11:00"
